"Maximum head changes for Stress Period     1, Time Step     1"
Iteration,Max_chg,Layer,Row,Column,Damp,Hprev,Hcurr
        1,  -10.000    ,     1,     38,     60,  0.31451E-03,   553.1986    ,   543.1986    
        2,  -10.000    ,     5,     56,     61,  0.22537E-01,   924.5182    ,   914.5182    
        3,  -10.000    ,     5,     56,     61,  0.22565E-01,   914.5182    ,   904.5182    
        4,  -4.3693    ,     5,     56,     61,  0.10000E-01,   904.5182    ,   900.1489    
        5,  -4.3438    ,     5,     56,     61,  0.10000E-01,   900.1489    ,   895.8051    
        6,  -10.000    ,     5,     56,     61,  0.23243E-01,   895.8051    ,   885.8051    
        7,  -4.2160    ,     5,     56,     61,  0.10000E-01,   885.8051    ,   881.5891    
        8,  -10.000    ,     5,     56,     61,  0.23936E-01,   881.5891    ,   871.5891    
        9,  -10.000    ,     5,     56,     61,  0.24403E-01,   871.5891    ,   861.5891    
       10,  -10.000    ,     5,     56,     61,  0.25000E-01,   861.5891    ,   851.5891    
       11,  -10.000    ,     5,     56,     61,  0.25556E-01,   851.5891    ,   841.5891    
       12,  -10.000    ,     5,     56,     61,  0.26155E-01,   841.5891    ,   831.5891    
       13,  -3.7322    ,     5,     56,     61,  0.10000E-01,   831.5891    ,   827.8569    
       14,  -3.6958    ,     5,     56,     61,  0.10000E-01,   827.8569    ,   824.1610    
       15,  -10.000    ,     5,     56,     61,  0.27316E-01,   824.1610    ,   814.1610    
       16,  -10.000    ,     5,     56,     61,  0.28083E-01,   814.1610    ,   804.1610    
       17,  -3.4961    ,     5,     56,     61,  0.10000E-01,   804.1610    ,   800.6649    
       18,  -10.000    ,     5,     56,     61,  0.28756E-01,   800.6649    ,   790.6649    
       19, -0.33835    ,     5,     56,     61,  0.10000E-02,   790.6649    ,   790.3265    
       20,  -10.000    ,     5,     56,     61,  0.29563E-01,   790.3265    ,   780.3265    
       21,  -3.2844    ,     5,     56,     61,  0.10000E-01,   780.3265    ,   777.0421    
       22,  -3.2518    ,     5,     56,     61,  0.10000E-01,   777.0421    ,   773.7902    
       23,  -3.2217    ,     5,     56,     61,  0.10000E-01,   773.7902    ,   770.5685    
       24,  -10.000    ,     5,     56,     61,  0.31353E-01,   770.5685    ,   760.5685    
       25,  -3.0973    ,     5,     56,     61,  0.10000E-01,   760.5685    ,   757.4712    
       26,  -10.000    ,     5,     56,     61,  0.32581E-01,   757.4712    ,   747.4712    
       27,  -2.9745    ,     5,     56,     61,  0.10000E-01,   747.4712    ,   744.4967    
       28,  -10.000    ,     5,     56,     61,  0.33940E-01,   744.4967    ,   734.4967    
       29,  -2.8517    ,     5,     56,     61,  0.10000E-01,   734.4967    ,   731.6450    
       30,  -10.000    ,     5,     56,     61,  0.35402E-01,   731.6450    ,   721.6450    
       31, -0.27432E-01,     5,     56,     61,  0.10000E-03,   721.6450    ,   721.6176    
       32,  -10.000    ,     5,     56,     61,  0.36437E-01,   721.6176    ,   711.6176    
       33,  -2.6662    ,     5,     56,     61,  0.10000E-01,   711.6176    ,   708.9514    
       34,  -10.000    ,     5,     56,     61,  0.37877E-01,   708.9514    ,   698.9514    
       35,  -10.000    ,     5,     56,     61,  0.39356E-01,   698.9514    ,   688.9514    
       36,  -2.4482    ,     5,     56,     61,  0.10000E-01,   688.9514    ,   686.5032    
       37,  -2.4239    ,     5,     56,     61,  0.10000E-01,   686.5032    ,   684.0793    
       38,  -10.000    ,     5,     56,     61,  0.41670E-01,   684.0793    ,   674.0793    
       39,  -2.3054    ,     5,     56,     61,  0.10000E-01,   674.0793    ,   671.7739    
       40,  -2.2830    ,     5,     56,     61,  0.10000E-01,   671.7739    ,   669.4910    
       41,  -2.3231    ,     5,     56,     61,  0.10000E-01,   669.4910    ,   667.1678    
       42,  -2.2998    ,     5,     56,     61,  0.10000E-01,   667.1678    ,   664.8680    
       43, -0.22820E-01,     5,     56,     61,  0.10000E-03,   664.8680    ,   664.8452    
       44,  -10.000    ,     5,     56,     61,  0.43875E-01,   664.8452    ,   654.8452    
       45,  -10.000    ,     5,     56,     61,  0.45617E-01,   654.8452    ,   644.8452    
       46,  -2.0942    ,     5,     56,     61,  0.10000E-01,   644.8452    ,   642.7510    
       47,  -10.000    ,     5,     56,     61,  0.48157E-01,   642.7510    ,   632.7510    
       48,  -1.9943    ,     5,     56,     61,  0.10000E-01,   632.7510    ,   630.7567    
       49,  -10.000    ,     5,     56,     61,  0.50641E-01,   630.7567    ,   620.7567    
       50,  -10.000    ,     5,     56,     61,  0.52832E-01,   620.7567    ,   610.7567    
       51,  -1.8037    ,     5,     56,     61,  0.10000E-01,   610.7567    ,   608.9530    
       52,  -10.000    ,     5,     56,     61,  0.55991E-01,   608.9530    ,   598.9530    
       53,  -10.000    ,     5,     56,     61,  0.58203E-01,   598.9530    ,   588.9530    
       54,  -1.6191    ,     5,     56,     61,  0.10000E-01,   588.9530    ,   587.3339    
       55, -0.16041E-01,     5,     56,     61,  0.10000E-03,   587.3339    ,   587.3178    
       56,  -10.000    ,     5,     56,     61,  0.62342E-01,   587.3178    ,   577.3178    
       57,  -1.5152    ,     5,     56,     61,  0.10000E-01,   577.3178    ,   575.8026    
       58,  -10.000    ,     5,     56,     61,  0.66663E-01,   575.8026    ,   565.8026    
       59,  -10.000    ,     5,     56,     61,  0.70152E-01,   565.8026    ,   555.8026    
       60,  -10.000    ,     5,     56,     61,  0.74647E-01,   555.8026    ,   545.8026    
       61,  -10.000    ,     5,     56,     61,  0.80434E-01,   545.8026    ,   535.8026    
       62,  -10.000    ,     5,     56,     61,  0.87167E-01,   535.8026    ,   525.8026    
       63,  -1.0544    ,     5,     56,     61,  0.10000E-01,   525.8026    ,   524.7482    
       64,  -10.000    ,     5,     56,     61,  0.95794E-01,   524.7482    ,   514.7482    
       65,  -10.000    ,     5,     56,     61,  0.10443    ,   514.7482    ,   504.7482    
       66,  -10.000    ,     5,     56,     61,  0.11596    ,   504.7482    ,   494.7482    
       67, -0.77070E-02,     5,     56,     61,  0.10000E-03,   494.7482    ,   494.7405    
       68,  -10.000    ,     5,     56,     61,  0.12970    ,   494.7405    ,   484.7405    
       69,  -10.000    ,     5,     56,     61,  0.14642    ,   484.7405    ,   474.7405    
       70,  -10.000    ,     1,     29,    120,  0.14169    ,   285.8661    ,   275.8661    
       71,  -8.0742    ,     1,     38,    100,  0.13126    ,   277.9810    ,   269.9067    
       72, -0.66095    ,     1,     38,     98,  0.10000E-01,   284.4312    ,   283.7702    
       73,  -10.000    ,     1,     38,     98,  0.15279    ,   283.7702    ,   273.7702    
       74,  -10.000    ,     1,     38,     98,  0.17365    ,   273.7702    ,   263.7702    
       75,  -10.000    ,     1,     37,    113,  0.18470    ,   224.4784    ,   214.4784    
       76,  -10.000    ,     1,     37,    113,  0.22587    ,   214.4784    ,   204.4784    
